,ID_FACTURA_IESIRE,ID_TIP_FACTURA,ID_PARTENER,ESTE_TVA_INCASARE,ID_VALUTA,CURS,DATA_SCADENTA,VALOARE,VALOARE_TVA,VALOARE_TOTALA,VALOARE_NEINCASATA,ID_PARTENER_ADRESA_DESTINATIE,ID_TARA_DESTINATIE,RAPORTARE_INTRASTAT,PARTENER_TREBUIE_MODIFICAT,DATA_TREBUIE_MODIFICATA,ID_DOCUMENT_PARINTE,LIVRARE_MARFA
249,2156,3,120,False,1,1.0,2022-09-14,0.0,0.0,0.0,0.0,90.0,251,False,,,,
225,1907,1,82,False,3,4.8100000000000005,2022-09-02,126.72,1.27,127.99,0.0,59.0,189,False,,,1824.0,
265,2198,1,83,False,1,1.0,2022-08-26,3.84,0.72,4.5600000000000005,0.0,60.0,62,False,,,,
318,2376,4,62,True,7,5.1,2022-09-30,0.0,0.0,0.0,0.0,36.0,189,True,,,,
23,416,2,2,False,2,4.0,2022-09-09,0.0,0.0,0.0,0.0,20.0,271,False,,,,
343,2592,1,66,False,5,2.52,2022-10-16,0.0,0.0,0.0,0.0,41.0,189,False,,,,
91,1108,8,70,False,1,1.0,2022-09-21,0.0,0.0,0.0,0.0,45.0,189,False,,,,
201,1672,1,82,False,3,4.8100000000000005,2022-09-15,161.64,7.9,169.54,0.0,59.0,189,False,,,,
166,1608,1,79,False,16,1.04,2022-09-10,152.64,24.81,177.45,0.0,56.0,189,False,,,1534.0,
36,547,1,61,False,1,1.0,2022-09-23,0.0,0.0,0.0,0.0,,189,False,,,,
330,2523,1,173,False,5,2.52,2022-10-11,0.0,0.0,0.0,0.0,133.0,189,False,,,,
247,2154,3,120,False,1,1.0,2022-09-14,0.0,0.0,0.0,0.0,92.0,189,False,,,,
357,2825,1,17,False,1,1.0,2022-12-02,24.5,4.66,29.16,29.16,27.0,189,False,,,,
305,2363,4,62,True,7,5.1,2022-09-28,0.0,0.0,0.0,0.0,38.0,0,True,,,,
286,2326,1,122,False,1,1.0,2022-09-19,825.0,15675.0,16500.0,16500.0,92.0,189,False,,,,
299,2350,1,17,False,1,1.0,2022-09-15,221.76,263.89,42.13,0.0,17.0,189,False,,,,
220,1847,9,78,False,1,0.0,2022-09-20,0.0,0.0,0.0,0.0,55.0,189,False,,,,
141,1255,7,17,True,7,4.0,2022-09-30,14.72,0.15,14.87,14.87,27.0,189,False,,,,
67,749,1,66,False,1,1.0,2022-09-12,0.0,0.0,0.0,0.0,41.0,189,False,,,,
266,2199,1,83,False,1,9.0,2022-09-08,27.94,231.02,258.97,258.97,60.0,62,False,,,,
19,311,17,17,False,29,3.0,2022-09-03,0.0,0.0,0.0,0.0,19.0,268,False,,,,
155,1596,1,79,False,16,1.04,2022-09-10,152.64,24.81,177.45,0.0,56.0,189,False,,,1534.0,
151,1592,1,79,False,16,1.04,2022-09-10,77.44,6.97,84.41,0.0,56.0,189,False,,,1536.0,
2,29,3,17,True,2,5.0,2022-09-29,0.0,0.0,0.0,0.0,17.0,252,True,,,,
182,1638,1,82,False,3,4.8100000000000005,2022-09-02,16.0,304.0,320.0,320.0,59.0,189,False,,,1637.0,
260,2191,1,66,False,1,5.0,2022-08-02,7.84,1.48,9.32,0.0,,8,False,,,,
295,2346,1,17,False,1,1.0,2022-09-15,221.76,263.89,42.13,0.0,17.0,189,False,,,,
138,1247,7,70,True,1,1.0,2022-09-30,9.0,2.0,5.0,5.0,45.0,189,False,,,,
29,430,1,2,False,2,0.15,2022-09-25,0.0,0.0,0.0,0.0,20.0,274,False,,,,
267,2200,1,66,False,1,5.0,2022-08-02,7.84,1.48,9.32,0.0,,8,False,,,,
120,1211,7,76,True,1,6.0,2022-09-25,0.0,0.0,0.0,0.0,53.0,189,True,,,,
241,2148,3,78,False,1,1.0,2022-09-14,0.0,0.0,0.0,0.0,71.0,195,False,,,,
40,563,2,62,False,7,8.0,2022-09-23,0.0,0.0,0.0,0.0,37.0,271,False,,,,
124,1215,7,72,True,1,6.0,2022-09-25,0.0,0.0,0.0,0.0,49.0,189,True,,,,
261,2194,1,83,False,1,9.0,2022-09-08,27.58,5.23,32.82,32.82,60.0,62,False,,,,
112,1181,7,70,True,1,6.0,2022-09-01,0.0,0.0,0.0,0.0,45.0,189,True,,,,
240,2147,3,78,False,1,1.0,2022-09-14,0.0,0.0,0.0,0.0,71.0,195,False,,,,
143,1571,1,79,False,16,1.04,2022-09-10,77.44,6.97,84.41,0.0,56.0,189,False,,,,
30,431,2,2,False,2,7.0,2022-09-10,0.0,0.0,0.0,0.0,20.0,274,False,,,,
165,1607,1,79,False,16,1.04,2022-09-10,152.64,24.81,177.45,0.0,56.0,189,False,,,1534.0,
147,1575,1,79,False,16,1.04,2022-09-10,77.44,6.97,84.41,0.0,56.0,189,False,,,1536.0,
204,1675,1,82,False,3,4.8100000000000005,2022-09-15,336.0,1632.0,1968.0,1968.0,59.0,189,False,,,,
234,2103,1,95,False,1,1.0,2022-08-25,70.07,13.31,83.38,0.0,71.0,189,False,,,2102.0,
328,2521,1,173,False,5,2.52,2022-10-11,0.0,0.0,0.0,0.0,133.0,189,False,,,,
174,1620,1,79,False,16,1.04,2022-09-10,61.44,5.53,66.97,0.0,56.0,189,False,,,1619.0,
115,1188,7,76,True,1,6.0,2022-09-25,0.0,0.0,0.0,0.0,53.0,189,True,,,,
233,2061,5,83,False,1,1.0,2022-09-30,0.0,0.0,0.0,0.0,55.0,189,False,,,,
315,2373,4,62,False,1,1.0,2022-09-29,0.0,0.0,0.0,0.0,36.0,189,False,,,,
202,1673,1,82,False,3,4.8100000000000005,2022-09-15,161.64,7.9,169.54,0.0,59.0,189,False,,,,
203,1674,1,82,False,3,4.8100000000000005,2022-09-15,0.0,0.0,0.0,0.0,59.0,189,False,,,,
63,745,4,66,False,1,1.0,2022-09-08,0.0,0.0,0.0,0.0,41.0,189,False,,,,
180,1634,1,82,False,3,4.8100000000000005,2022-09-02,174.22,10.3,184.52,0.0,59.0,189,False,,,1633.0,
269,2247,7,117,True,1,1.0,2022-09-15,0.0,0.0,0.0,0.0,87.0,189,False,,,,True
71,799,1,66,True,11,6.75,2022-09-21,0.0,0.0,0.0,0.0,41.0,189,True,,,,
0,-1,2,1,True,2,3.0,2022-09-30,0.0,0.0,0.0,0.0,11.0,248,False,,,,
156,1597,1,79,False,16,1.04,2022-09-10,152.64,24.81,177.45,0.0,56.0,189,False,,,1534.0,
126,1217,7,72,True,7,0.0,2022-09-30,0.0,0.0,0.0,0.0,49.0,189,True,,,,
113,1184,7,70,True,3,4.44,2022-09-04,0.0,0.0,0.0,0.0,45.0,189,True,,,,
283,2322,1,122,False,1,1.0,2022-09-15,462.0,8778.0,9240.0,9240.0,92.0,189,False,,,,
73,821,1,66,False,1,1.0,2022-09-21,0.0,0.0,0.0,0.0,41.0,189,False,,,,
175,1624,1,82,False,3,4.8100000000000005,2022-09-02,63.0,1197.0,1260.0,1260.0,59.0,189,False,,,1623.0,
245,2152,3,122,False,1,1.0,2022-09-14,0.0,0.0,0.0,0.0,71.0,195,False,,,,
217,1833,1,82,False,3,4.8100000000000005,2022-09-15,0.0,0.0,0.0,0.0,59.0,189,False,,,,
341,2577,7,162,False,1,1.0,2022-10-13,0.0,0.0,0.0,0.0,132.0,189,False,,,,
72,800,1,66,False,1,1.0,2022-09-21,0.0,0.0,0.0,0.0,41.0,189,False,,,,
38,557,1,62,False,1,1.0,2022-09-24,0.0,0.0,0.0,0.0,37.0,274,False,,,,
8,47,2,17,False,3,5.0,2022-09-22,0.0,0.0,0.0,0.0,19.0,263,False,,,,
229,1989,1,83,False,1,1.0,2022-09-22,953.24,152.32,1105.56,0.0,60.0,189,False,,,1988.0,
39,562,2,62,False,16,8.0,2022-09-30,0.0,0.0,0.0,0.0,37.0,268,False,,,,
129,1220,7,70,True,1,6.0,2022-09-30,0.0,0.0,0.0,0.0,45.0,189,True,,,,
251,2158,1,62,False,1,1.0,2022-08-25,141.05,26.8,167.85,167.85,36.0,189,False,,,2127.0,
176,1626,1,82,False,3,4.8100000000000005,2022-09-02,12.0,228.0,240.0,240.0,59.0,189,False,,,1625.0,
145,1573,1,79,False,16,1.04,2022-09-10,77.44,6.97,84.41,0.0,56.0,189,False,,,,
52,700,4,62,False,1,0.0,2022-09-08,0.0,0.0,0.0,0.0,38.0,253,False,,,,
207,1679,1,82,False,3,4.8100000000000005,2022-09-15,0.0,0.0,0.0,0.0,59.0,189,False,,,,
338,2574,6,172,False,1,1.0,2022-10-29,0.0,0.0,0.0,0.0,133.0,189,False,,,,
62,744,1,66,False,1,1.0,2022-09-29,0.0,0.0,0.0,0.0,41.0,189,False,,,,
25,422,2,2,False,2,7.0,2022-09-06,0.0,0.0,0.0,0.0,20.0,263,False,,,,
239,2146,1,78,False,5,2.4699999999999998,2022-09-06,0.0,0.0,0.0,0.0,59.0,189,False,,,,
55,703,3,61,False,2,4.95,2022-09-06,0.0,0.0,0.0,0.0,34.0,189,False,,,,
300,2351,1,17,False,1,1.0,2022-09-15,221.76,263.89,42.13,0.0,17.0,189,False,,,,
173,1618,1,79,False,16,1.04,2022-09-10,162.16,12.72,174.88,0.0,56.0,189,False,,,1617.0,
270,2251,1,17,False,1,1.0,2022-09-15,106.0,1900.0,2006.0,2006.0,27.0,189,False,,,,True
44,618,3,62,False,29,1.25,2022-09-15,0.0,0.0,0.0,0.0,37.0,189,False,,,,
308,2366,4,62,True,7,5.1,2022-09-28,0.0,0.0,0.0,0.0,38.0,0,True,,,,
92,1109,6,17,False,11,5.83,2022-09-30,0.0,0.0,0.0,0.0,19.0,248,False,,,,
77,853,1,66,False,1,1.0,2022-09-13,0.0,0.0,0.0,0.0,41.0,189,False,,,,
26,424,2,2,False,2,7.0,2022-09-24,0.0,0.0,0.0,0.0,20.0,263,False,,,,
27,427,2,2,False,2,9.0,2022-09-23,0.0,0.0,0.0,0.0,20.0,253,False,,,,
58,706,3,61,False,29,1.26,2022-09-08,0.0,0.0,0.0,0.0,34.0,189,False,,,,
90,1107,8,70,False,1,0.0,2022-09-21,0.0,0.0,0.0,0.0,45.0,189,False,,,,
164,1606,1,79,False,16,1.04,2022-09-10,152.64,24.81,177.45,0.0,56.0,189,False,,,1534.0,
132,1233,7,76,True,1,0.0,2022-09-18,0.0,0.0,0.0,0.0,53.0,189,True,,,,
191,1656,1,82,False,3,4.8100000000000005,2022-09-02,161.64,7.9,169.54,0.0,59.0,189,False,,,,
103,1171,3,72,False,16,0.0,2022-09-12,0.0,0.0,0.0,0.0,49.0,189,False,,,,
134,1235,7,76,True,1,0.0,2022-09-18,0.0,0.0,0.0,0.0,53.0,189,True,,,,
158,1599,1,79,False,16,1.04,2022-09-10,152.64,24.81,177.45,0.0,56.0,189,False,,,1534.0,
117,1208,7,70,True,3,4.44,2022-09-04,0.0,0.0,0.0,0.0,45.0,189,True,,,,
116,1190,7,76,True,1,6.0,2022-09-25,0.0,0.0,0.0,0.0,53.0,189,False,,,,
215,1807,1,82,False,3,4.8100000000000005,2022-09-02,126.72,1.27,127.99,0.0,59.0,189,False,,,1806.0,
107,1176,7,72,True,1,6.0,2022-09-24,0.0,0.0,0.0,0.0,49.0,189,True,,,,
344,2593,1,173,False,5,2.52,2022-10-16,0.0,0.0,0.0,0.0,133.0,189,False,,,,
32,536,1,62,True,1,1.0,2022-09-28,0.0,0.0,0.0,0.0,37.0,274,True,,,,
41,578,1,53,False,1,1.0,2022-09-26,0.0,0.0,0.0,0.0,28.0,189,False,,,,
34,539,1,61,False,1,1.0,2022-09-24,0.0,0.0,0.0,0.0,34.0,189,False,,,,
148,1576,1,79,False,16,1.04,2022-09-10,77.44,6.97,84.41,0.0,56.0,189,False,,,1536.0,
172,1615,1,79,False,16,1.04,2022-09-10,924.0,17556.0,18480.0,18480.0,56.0,189,False,,,1534.0,
118,1209,7,76,True,1,6.0,2022-09-25,0.0,0.0,0.0,0.0,53.0,189,True,,,,
79,900,1,70,False,1,1.0,2022-09-30,0.0,0.0,0.0,0.0,45.0,189,False,,,,
35,540,2,60,False,1,1.0,2022-09-24,0.0,0.0,0.0,0.0,31.0,251,False,,,,
333,2556,1,17,False,1,1.0,2022-09-15,539.52,102.51,642.03,0.0,27.0,7,False,,,2314.0,
42,582,17,62,False,1,-2.7,2022-09-28,36.99,7.02,44.02,44.02,36.0,189,False,,,,
5,32,3,17,False,1,1.0,2022-09-21,0.0,0.0,0.0,0.0,17.0,248,False,,,,
359,2967,4,172,True,1,1.0,2023-01-11,25.0,4.75,29.75,29.75,132.0,189,False,,,,
144,1572,1,79,False,16,1.04,2022-09-10,77.44,6.97,84.41,0.0,56.0,189,False,,,,
314,2372,4,62,True,7,5.1,2022-09-28,0.0,0.0,0.0,0.0,36.0,189,True,,,,
131,1232,7,76,True,1,0.0,2022-09-18,0.0,0.0,0.0,0.0,53.0,189,True,,,,
337,2570,1,173,False,5,2.5300000000000002,2022-10-13,0.0,0.0,0.0,0.0,133.0,189,False,,,,
210,1793,1,82,False,1,1.0,2022-09-17,3.84,0.19,4.03,0.0,59.0,189,False,,,1785.0,
274,2265,1,17,False,1,1.0,2022-09-15,221.76,42.13,263.89,0.0,17.0,189,False,,,2264.0,
230,1997,1,83,False,1,1.0,2022-09-22,287.96,25.92,313.88,0.0,60.0,189,False,,,1996.0,
152,1593,1,79,False,16,1.04,2022-09-10,152.64,24.81,177.45,0.0,56.0,189,False,,,1534.0,
192,1658,1,82,False,3,4.8100000000000005,2022-09-02,161.64,7.9,169.54,0.0,59.0,189,False,,,,
354,2669,1,17,False,1,1.0,2022-10-22,4.8,91.2,96.0,96.0,27.0,189,False,,,,
130,1226,7,76,True,1,6.0,2022-09-18,0.0,0.0,0.0,0.0,53.0,189,True,,,,
306,2364,4,62,True,7,5.1,2022-09-28,0.0,0.0,0.0,0.0,38.0,0,True,,,,
187,1648,5,82,False,1,0.0,2022-09-15,0.0,0.0,0.0,0.0,59.0,189,False,,,,
3,30,4,17,False,1,1.0,2022-09-30,0.0,0.0,0.0,0.0,17.0,248,False,,,,
219,1846,1,82,False,3,4.8100000000000005,2022-09-15,0.0,0.0,0.0,0.0,59.0,189,False,,,,
178,1630,1,82,False,3,4.8100000000000005,2022-09-02,165.12,8.57,173.69,0.0,59.0,189,False,,,1629.0,
121,1212,7,76,True,1,6.0,2022-09-25,0.0,0.0,0.0,0.0,53.0,189,True,,,,
237,2144,1,120,False,1,1.0,2022-09-07,0.0,0.0,0.0,0.0,33.0,189,False,,,,
304,2362,4,62,True,7,5.1,2022-09-28,0.0,0.0,0.0,0.0,38.0,0,True,,,,
4,31,3,17,False,3,54.0,2022-09-23,0.0,0.0,0.0,0.0,17.0,251,False,,,,
322,2515,1,173,False,5,2.52,2022-10-11,0.0,0.0,0.0,0.0,133.0,189,False,,,,
149,1590,1,79,False,16,1.04,2022-09-10,77.44,6.97,84.41,0.0,56.0,189,False,,,1536.0,
223,1850,1,82,False,3,4.8100000000000005,2022-09-15,0.0,0.0,0.0,0.0,59.0,189,False,,,,
256,2169,3,120,False,5,2.4699999999999998,2022-09-06,0.0,0.0,0.0,0.0,90.0,251,False,,,,
47,636,3,60,False,1,1.0,2022-09-07,0.0,0.0,0.0,0.0,31.0,271,False,,,,
17,152,6,2,False,2,6.0,2022-09-19,0.0,0.0,0.0,0.0,20.0,252,False,,,,
231,2054,1,82,False,1,1.0,2022-09-25,0.0,0.0,0.0,0.0,59.0,189,False,,,1991.0,
